0,Store ID,Gregorian Date,Hijri Date,Day,Greg. Month,Hijri Month,Location,Store Size,Parking,Mall,Work Hours,Cost/day,Promotion,Customer Base,Advertisements,Competition,Customers,Profit/day
59,fil-2110,3/16/2008 0:00,1429-03-08,Sunday,March,Rabi’ al-Awwal,,Grande,2445,Yes,18 hrs,SAR 352140.0,Regular,936589,280976,4,7283,SAR 418771
60,fil-2101,3/17/2008 0:00,1429-03-09,Monday,March,Rabi’ al-Awwal,Center,Hyper,855,Yes,12 hrs,SAR 22173.0,None,1022612,0,7,9817,SAR 511175
61,fil-2102,3/17/2008 0:00,1429-03-09,Mon,March,Rabi’ al-Awwal,Border,Hyper,885,Yes,24 hrs,SAR 31357.0,None,437081,0,4,5682,SAR 253173
62,fil-2103,3/17/2008 0:00,1429-03-09,Monday,March,Rabi’ al-Awwal,Center,Hyper,615,No,12 hrs,SAR 57001.0,None,1305631,0,5,20168,SAR 1094496
63,fil-2104,3/17/2008 0:00,1429-03-09,Monday,March,Rabi’ al-Awwal,Outskirts,Regular,1665,Yes,12 hrs,SAR 3924.0,None,180739,0,0,2316,SAR 145613
64,fil-2105,3/17/2008 0:00,1429-03-09,Monday,March,Rabi’ al-Awwal,Border,Grande,3375,Yes,12 hrs,SAR 690006.0,None,1588681,0,4,21685,SAR 994896
65,fil-2106,3/17/2008 0:00,1429-03-09,Monday,,Rabi’ al-Awwal,Center,Regular,420,Yes,12 hrs,SAR 6916.0,None,490506,0,8,6180,SAR 311154
66,fil-2107,3/17/2008 0:00,1429-03-09,Mon,,Rabi’ al-Awwal,Center,Hyper,880,Yes,24 hrs,SAR 48067.0,None,1584314,0,5,15447,SAR 748053
67,fil-2108,3/17/2008 0:00,1429-03-09,Monday,Mar,Rabi’ al-Awwal,Center,Hyper,855,Yes,18 hrs,SAR 79017.0,None,1299382,0,8,12474,SAR 591028
68,fil-2109,3/17/2008 0:00,1429-03-09,Mon,March,Rabi’ al-Awwal,Center,Grande,1105,Yes,18 hrs,SAR 162530.0,None,2146067,0,9,30903,SAR 1553911
69,fil-2110,3/17/2008 0:00,1429-03-09,Monday,March,Rabi’ al-Awwal,Border,Grande,2445,Yes,18 hrs,SAR 373712.0,None,936589,0,4,8522,SAR 480932
70,fil-2101,3/18/2008 0:00,1429-03-10,Tuesday,March,Rabi’ al-Awwal,Center,Hyper,855,Yes,12 hrs,SAR 22612.0,None,1022612,0,7,12884,SAR 619589
71,fil-2102,3/18/2008 0:00,1429-03-10,Tuesday,Mar,Rabi’ al-Awwal,Border,Hyper,885,Yes,24 hrs,SAR 30180.0,None,437081,0,4,5682,SAR 313925
72,fil-2103,3/18/2008 0:00,1429-03-10,,March,Rabi’ al-Awwal,Center,Hyper,615,No,12 hrs,SAR 64004.0,None,1305631,0,5,18022,SAR 1084153
73,fil-2104,3/18/2008 0:00,1429-03-10,,March,Rabi’ al-Awwal,Outskirts,Regular,1665,Yes,12 hrs,SAR 4642.0,None,180739,0,0,1425,SAR 69114
74,fil-2105,3/18/2008 0:00,1429-03-10,Tuesday,,Rabi’ al-Awwal,Border,Grande,3375,Yes,12 hrs,SAR 672608.0,None,1588681,0,4,13424,SAR 602917
75,fil-2106,3/18/2008 0:00,1429-03-10,Tuesday,Mar,Rabi’ al-Awwal,Center,Regular,420,Yes,12 hrs,SAR 7861.0,None,490506,0,8,7063,SAR 394722
76,fil-2107,3/18/2008 0:00,1429-03-10,Tuesday,,Rabi’ al-Awwal,Center,Hyper,880,Yes,24 hrs,SAR 47573.0,None,1584314,0,5,23685,SAR 958100
77,fil-2108,3/18/2008 0:00,1429-03-10,Tuesday,March,Rabi’ al-Awwal,Center,Hyper,855,Yes,18 hrs,SAR 76441.0,None,1299382,0,8,15592,SAR 707850
78,fil-2109,3/18/2008 0:00,1429-03-10,Tuesday,March,Rabi’ al-Awwal,Center,Grande,1105,Yes,18 hrs,SAR 159687.0,None,2146067,0,9,15451,SAR 659295
79,fil-2110,3/18/2008 0:00,1429-03-10,Tuesday,March,Rabi’ al-Awwal,Border,Grande,2445,Yes,18 hrs,SAR 348087.0,None,936589,0,4,10349,SAR 469853
80,fil-2101,3/19/2008 0:00,1429-03-11,Wednesday,March,Rabi’ al-Awwal,Center,Hyper,855,Yes,12 hrs,SAR 19187.0,None,1022612,0,7,6749,SAR 308900
81,fil-2102,3/19/2008 0:00,1429-03-11,Wednesday,March,Rabi’ al-Awwal,Border,Hyper,885,Yes,24 hrs,SAR 25613.0,None,437081,0,4,4545,SAR 212109
82,fil-2103,3/19/2008 0:00,1429-03-11,Wednesday,March,Rabi’ al-Awwal,Center,Hyper,615,No,12 hrs,SAR 65074.0,None,1305631,0,5,16313,SAR 815762
83,fil-2104,3/19/2008 0:00,1429-03-11,Wednesday,March,Rabi’ al-Awwal,Outskirts,Regular,1665,Yes,12 hrs,SAR 4285.0,None,180739,0,0,1637,SAR 84636
84,fil-2105,3/19/2008 0:00,1429-03-11,Wednesday,Mar,Rabi’ al-Awwal,Border,Grande,3375,Yes,12 hrs,SAR 576447.0,None,1588681,0,4,10326,SAR 463611
85,fil-2106,3/19/2008 0:00,1429-03-11,Wednesday,March,Rabi’ al-Awwal,Center,Regular,420,Yes,12 hrs,SAR 7953.0,None,490506,0,8,5886,SAR 294534
86,fil-2107,3/19/2008 0:00,1429-03-11,,March,Rabi’ al-Awwal,Center,Hyper,880,Yes,24 hrs,SAR 52854.0,None,1584314,0,5,22655,SAR 1106424
87,fil-2108,3/19/2008 0:00,1429-03-11,Wednesday,March,Rabi’ al-Awwal,Center,Hyper,855,Yes,18 hrs,SAR 84041.0,None,1299382,0,8,8575,SAR 495884
88,fil-2109,3/19/2008 0:00,1429-03-11,,March,Rabi’ al-Awwal,Center,Grande,1105,Yes,18 hrs,SAR 159595.0,None,2146067,0,9,24465,SAR 1042764
89,fil-2110,3/19/2008 0:00,1429-03-11,Wednesday,Mar,Rabi’ al-Awwal,Border,Grande,2445,Yes,18 hrs,SAR 339052.0,None,936589,0,4,10958,SAR 545427
90,fil-2101,3/20/2008 0:00,1429-03-12,Thursday,,Rabi’ al-Awwal,Center,Hyper,855,Yes,12 hrs,SAR 21915.0,None,1022612,0,7,14725,SAR 702654
91,fil-2102,3/20/2008 0:00,1429-03-12,Thursday,March,Rabi’ al-Awwal,Border,Hyper,885,Yes,24 hrs,SAR 31884.0,None,437081,0,4,3409,SAR 186020
92,fil-2103,3/20/2008 0:00,1429-03-12,Thursday,March,Rabi’ al-Awwal,Center,Hyper,615,No,12 hrs,SAR 63175.0,None,1305631,0,5,23668,SAR 981042
93,fil-2104,3/20/2008 0:00,1429-03-12,Thursday,March,Rabi’ al-Awwal,Outskirts,Regular,1665,Yes,12 hrs,SAR 3874.0,None,180739,0,0,1835,SAR 91908
94,fil-2105,3/20/2008 0:00,1429-03-12,Thu,March,Rabi’ al-Awwal,Border,Grande,3375,Yes,12 hrs,SAR 631757.0,None,1588681,0,4,19620,SAR 1049545
95,fil-2106,3/20/2008 0:00,1429-03-12,Thursday,March,Rabi’ al-Awwal,Center,Regular,420,Yes,12 hrs,SAR 9325.0,None,490506,0,8,5297,SAR 279145
96,fil-2107,3/20/2008 0:00,1429-03-12,Thursday,Mar,Rabi’ al-Awwal,Center,Hyper,880,Yes,24 hrs,SAR 47664.0,None,1584314,0,5,18536,SAR 1114412
97,fil-2108,3/20/2008 0:00,1429-03-12,Thursday,March,Rabi’ al-Awwal,Center,Hyper,855,Yes,18 hrs,SAR 71445.0,None,1299382,0,8,13253,SAR 591811
98,fil-2109,3/20/2008 0:00,1429-03-12,Thursday,Mar,Rabi’ al-Awwal,Center,Grande,1105,Yes,18 hrs,SAR 170981.0,None,2146067,0,9,27040,SAR 1122030
99,fil-2110,3/20/2008 0:00,1429-03-12,Thursday,March,Rabi’ al-Awwal,Border,Grande,2445,Yes,18 hrs,SAR 384967.0,None,936589,0,4,6696,SAR 302577
100,fil-2101,3/21/2008 0:00,1429-03-13,Friday,March,Rabi’ al-Awwal,Center,Hyper,855,Yes,12 hrs,SAR 21973.0,Regular,1022612,511306,7,10047,SAR 598921
101,fil-2102,3/21/2008 0:00,1429-03-13,Friday,March,Rabi’ al-Awwal,Border,Hyper,885,Yes,24 hrs,SAR 29164.0,Regular,437081,174832,4,6470,SAR 272971
102,fil-2103,3/21/2008 0:00,1429-03-13,Friday,March,Rabi’ al-Awwal,Center,Hyper,615,No,12 hrs,SAR 52390.0,Regular,1305631,522252,5,25915,SAR 1386831
103,fil-2104,3/21/2008 0:00,1429-03-13,Friday,March,Rabi’ al-Awwal,Outskirts,Regular,1665,Yes,12 hrs,SAR 4722.0,Regular,180739,72295,0,2255,SAR 121608
104,fil-2105,3/21/2008 0:00,1429-03-13,Friday,March,Rabi’ al-Awwal,Border,Grande,3375,Yes,12 hrs,SAR 624325.0,Regular,1588681,794340,4,19175,SAR 906713
105,fil-2106,3/21/2008 0:00,1429-03-13,Friday,March,Rabi’ al-Awwal,Center,,420,Yes,12 hrs,SAR 8822.0,Regular,490506,294303,8,3598,SAR 167373
106,fil-2107,3/21/2008 0:00,1429-03-13,Friday,March,Rabi’ al-Awwal,Center,Hyper,880,Yes,24 hrs,SAR 51089.0,Regular,1584314,950588,5,13422,SAR 621330
107,fil-2108,3/21/2008 0:00,1429-03-13,Fri,March,Rabi’ al-Awwal,Center,Hyper,855,Yes,18 hrs,SAR 76818.0,Regular,1299382,779629,8,9562,SAR 397342
108,fil-2109,3/21/2008 0:00,1429-03-13,,March,Rabi’ al-Awwal,Center,Grande,1105,Yes,18 hrs,SAR 174766.0,Regular,2146067,1287640,9,14335,SAR 724477
109,fil-2110,3/21/2008 0:00,1429-03-13,Friday,March,Rabi’ al-Awwal,Border,Grande,2445,Yes,18 hrs,SAR 349501.0,Regular,936589,561953,4,8125,SAR 432836
110,fil-2101,3/22/2008 0:00,1429-03-14,Saturday,March,Rabi’ al-Awwal,Center,Hyper,855,Yes,12 hrs,SAR 24048.0,None,1022612,0,7,9203,SAR 577799
111,fil-2102,3/22/2008 0:00,1429-03-14,Saturday,March,Rabi’ al-Awwal,Border,Hyper,885,Yes,24 hrs,SAR 25579.0,None,437081,0,4,5966,SAR 275442
112,fil-2103,3/22/2008 0:00,1429-03-14,,March,Rabi’ al-Awwal,Center,Hyper,615,No,12 hrs,SAR 69709.0,None,1305631,0,5,19130,SAR 917885
113,fil-2104,3/22/2008 0:00,1429-03-14,,March,Rabi’ al-Awwal,Outskirts,Regular,1665,Yes,12 hrs,SAR 5062.0,None,180739,0,0,2823,SAR 140638
114,fil-2105,3/22/2008 0:00,1429-03-14,,March,Rabi’ al-Awwal,Border,Grande,3375,Yes,12 hrs,SAR 580954.0,None,1588681,0,4,19620,SAR 965110
115,fil-2106,3/22/2008 0:00,1429-03-14,Sat,March,Rabi’ al-Awwal,Center,,420,Yes,12 hrs,SAR 8722.0,None,490506,0,8,6768,SAR 378005
116,fil-2107,3/22/2008 0:00,1429-03-14,,March,Rabi’ al-Awwal,Center,Hyper,880,Yes,24 hrs,SAR 41967.0,None,1584314,0,5,14417,SAR 631060
117,fil-2108,3/22/2008 0:00,1429-03-14,Saturday,,Rabi’ al-Awwal,Center,,855,Yes,18 hrs,SAR 72944.0,None,1299382,0,8,11694,SAR 730932
118,fil-2109,3/22/2008 0:00,1429-03-14,Saturday,March,Rabi’ al-Awwal,Center,Grande,1105,Yes,18 hrs,SAR 165183.0,None,2146067,0,9,27040,SAR 1256584
119,fil-2110,3/22/2008 0:00,1429-03-14,Saturday,March,Rabi’ al-Awwal,Border,,2445,Yes,18 hrs,SAR 313530.0,None,936589,0,4,7305,SAR 347239
120,fil-2101,3/23/2008 0:00,1429-03-15,Sunday,March,Rabi’ al-Awwal,Center,Hyper,855,Yes,12 hrs,SAR 15239.0,None,1022612,0,7,10430,SAR 555999
121,fil-2102,3/23/2008 0:00,1429-03-15,Sunday,March,Rabi’ al-Awwal,Border,Hyper,885,Yes,24 hrs,SAR 28438.0,None,437081,0,4,3125,SAR 144200
122,fil-2103,3/23/2008 0:00,1429-03-15,Sunday,March,Rabi’ al-Awwal,Center,Hyper,615,No,12 hrs,SAR 53592.0,None,1305631,0,5,19341,SAR 830303
123,fil-2104,3/23/2008 0:00,1429-03-15,Sunday,March,Rabi’ al-Awwal,Outskirts,Regular,1665,Yes,12 hrs,SAR 4187.0,None,180739,0,0,2801,SAR 145247
124,fil-2105,3/23/2008 0:00,1429-03-15,Sunday,March,Rabi’ al-Awwal,Border,Grande,3375,Yes,12 hrs,SAR 552231.0,None,1588681,0,4,18587,SAR 849645
125,fil-2106,3/23/2008 0:00,1429-03-15,Sun,March,Rabi’ al-Awwal,Center,Regular,420,Yes,12 hrs,SAR 6850.0,None,490506,0,8,3531,SAR 161779
126,fil-2107,3/23/2008 0:00,1429-03-15,Sunday,March,Rabi’ al-Awwal,Center,Hyper,880,Yes,24 hrs,SAR 51347.0,None,1584314,0,5,11327,SAR 384284
127,fil-2108,3/23/2008 0:00,1429-03-15,Sunday,,Rabi’ al-Awwal,Center,Hyper,855,Yes,18 hrs,SAR 74503.0,None,1299382,0,8,14033,SAR 779098
128,fil-2109,3/23/2008 0:00,1429-03-15,Sunday,March,Rabi’ al-Awwal,Center,Grande,1105,Yes,18 hrs,SAR 159270.0,None,2146067,0,9,19314,SAR 897174
129,fil-2110,3/23/2008 0:00,1429-03-15,Sunday,March,Rabi’ al-Awwal,,Grande,2445,Yes,18 hrs,SAR 337316.0,None,936589,0,4,8522,SAR 404429
130,fil-2101,3/24/2008 0:00,1429-03-16,Monday,March,Rabi’ al-Awwal,Center,Hyper,855,Yes,12 hrs,SAR 23312.0,Grand,1022612,511306,7,8470,SAR 451798
131,fil-2102,3/24/2008 0:00,1429-03-16,,Mar,Rabi’ al-Awwal,Border,Hyper,885,Yes,24 hrs,SAR 30952.0,Grand,437081,174832,4,7769,SAR 432459
132,fil-2103,3/24/2008 0:00,1429-03-16,,March,Rabi’ al-Awwal,Center,Hyper,615,No,12 hrs,SAR 52627.0,Grand,1305631,783378,5,29308,SAR 1497926
133,fil-2104,3/24/2008 0:00,1429-03-16,Monday,March,Rabi’ al-Awwal,,Regular,1665,Yes,12 hrs,SAR 4302.0,Grand,180739,54221,0,2832,SAR 121395
134,fil-2105,3/24/2008 0:00,1429-03-16,Monday,March,Rabi’ al-Awwal,,,3375,Yes,12 hrs,SAR 665535.0,Grand,1588681,476604,4,24661,SAR 1239125
135,fil-2106,3/24/2008 0:00,1429-03-16,Mon,March,Rabi’ al-Awwal,Center,Regular,420,Yes,12 hrs,SAR 6647.0,Grand,490506,196202,8,6807,SAR 335673
136,fil-2107,3/24/2008 0:00,1429-03-16,Monday,March,Rabi’ al-Awwal,Center,Hyper,880,Yes,24 hrs,SAR 58096.0,Grand,1584314,950588,5,14238,SAR 679971
137,fil-2108,3/24/2008 0:00,1429-03-16,Monday,March,Rabi’ al-Awwal,Center,Hyper,855,Yes,18 hrs,SAR 70502.0,Grand,1299382,779629,8,21925,SAR 1068760
138,fil-2109,3/24/2008 0:00,1429-03-16,Monday,March,Rabi’ al-Awwal,Center,Grande,1105,Yes,18 hrs,SAR 159523.0,Grand,2146067,1073033,9,30866,SAR 1689752
139,fil-2110,3/24/2008 0:00,1429-03-16,Monday,March,Rabi’ al-Awwal,Border,Grande,2445,Yes,18 hrs,SAR 362539.0,Grand,936589,280976,4,8303,SAR 377549
140,fil-2101,3/25/2008 0:00,1429-03-17,Tuesday,March,Rabi’ al-Awwal,Center,Hyper,855,Yes,12 hrs,SAR 24828.0,Regular,1022612,511306,7,14431,SAR 764036
141,fil-2102,3/25/2008 0:00,1429-03-17,Tuesday,March,Rabi’ al-Awwal,Border,Hyper,885,Yes,24 hrs,SAR 26628.0,Regular,437081,262248,4,6779,SAR 413611
142,fil-2103,3/25/2008 0:00,1429-03-17,Tuesday,March,Rabi’ al-Awwal,Center,Hyper,615,No,12 hrs,SAR 61007.0,Regular,1305631,391689,5,23370,SAR 1186438
143,fil-2104,3/25/2008 0:00,1429-03-17,Tuesday,March,Rabi’ al-Awwal,Outskirts,Regular,1665,Yes,12 hrs,SAR 4455.0,Regular,180739,90369,0,3173,SAR 162948
