0,Store ID,Gregorian Date,Hijri Date,Day,Greg. Month,Hijri Month,Location,Store Size,Parking,Mall,Work Hours,Cost/day,Promotion,Customer Base,Advertisements,Competition,Customers,Profit/day
64,fil-2110,9/14/2019 0:00,1441-01-15,Sat,Sep,Muharram,Border,Hyper,840,Yes,18 hrs,SAR 66803.0,Grand,412301,123690,2,4596,SAR 257823
65,fil-2111,9/14/2019 0:00,1441-01-15,Sat,Sep,Muharram,Center,Regular,265,Yes,12 hrs,SAR 2608.0,None,447122,0,9,5633,SAR 223269
66,fil-2101,9/15/2019 0:00,1441-01-16,Sun,Sep,Muharram,Center,Regular,150,No,12 hrs,SAR 6002.0,None,497753,0,7,5275,SAR 249908
67,fil-2102,9/15/2019 0:00,1441-01-16,Sun,Sep,Muharram,Border,Hyper,1830,Yes,24 hrs,SAR 60843.0,Regular,352083,211249,4,4518,SAR 234464
68,fil-2103,9/15/2019 0:00,1441-01-16,Sun,Sep,Muharram,Center,Regular,465,Yes,12 hrs,SAR 6348.0,None,1072366,0,6,9007,SAR 487352
69,fil-2104,9/15/2019 0:00,1441-01-16,Sun,Sep,Muharram,Center,Grande,1470,Yes,18 hrs,SAR 219781.0,Regular,2136403,1068201,10,28627,SAR 1576099
70,fil-2105,9/15/2019 0:00,1441-01-16,Sun,Sep,Muharram,Outskirts,Hyper,810,Yes,24 hrs,SAR 41404.0,None,217117,0,1,2133,SAR 103773
71,fil-2106,9/15/2019 0:00,1441-01-16,Sun,Sep,Muharram,Center,Grande,840,Yes,12 hrs,SAR 512946.0,Regular,4153861,1246158,7,46888,SAR 2290118
72,fil-2107,9/15/2019 0:00,1441-01-16,Sun,Sep,Muharram,Border,Hyper,765,No,12 hrs,SAR 68390.0,None,250180,0,2,3309,SAR 173929
73,fil-2108,9/15/2019 0:00,1441-01-16,Sun,Sep,Muharram,Center,Grande,1060,Yes,12 hrs,SAR 563965.0,Regular,2692781,1077112,10,30258,SAR 1387028
74,fil-2109,9/15/2019 0:00,1441-01-16,Sun,Sep,Muharram,Center,Hyper,960,Yes,18 hrs,SAR 51232.0,None,1281622,0,7,16148,SAR 730120
75,fil-2110,9/15/2019 0:00,1441-01-16,Sun,Sep,Muharram,Border,Hyper,840,Yes,18 hrs,SAR 72314.0,Regular,412301,247380,2,5915,SAR 323573
76,fil-2111,9/15/2019 0:00,1441-01-16,Sun,Sep,Muharram,Center,Regular,265,Yes,12 hrs,SAR 2662.0,None,447122,0,9,4024,SAR 184338
77,fil-2101,9/16/2019 0:00,1441-01-17,Mon,Sep,Muharram,Center,Regular,150,No,12 hrs,SAR 5970.0,Regular,497753,149325,7,8153,SAR 389543
78,fil-2102,9/16/2019 0:00,1441-01-17,Mon,Sep,Muharram,Border,Hyper,1830,Yes,24 hrs,SAR 54858.0,None,352083,0,4,4577,SAR 242510
79,fil-2103,9/16/2019 0:00,1441-01-17,Mon,Sep,Muharram,Center,Regular,465,Yes,12 hrs,SAR 6649.0,Regular,1072366,643419,6,10503,SAR 501229
80,fil-2104,9/16/2019 0:00,1441-01-17,Mon,Sep,Muharram,Center,Grande,1470,Yes,18 hrs,SAR 240061.0,None,2136403,0,10,17945,SAR 853404
81,fil-2105,9/16/2019 0:00,1441-01-17,Mon,Sep,Muharram,Outskirts,Hyper,810,Yes,24 hrs,SAR 34186.0,Regular,217117,130270,1,3884,SAR 209222
82,fil-2106,9/16/2019 0:00,1441-01-17,Mon,Sep,Muharram,Center,Grande,840,Yes,12 hrs,SAR 405254.0,None,4153861,0,7,42369,SAR 2042824
83,fil-2107,9/16/2019 0:00,1441-01-17,Mon,Sep,Muharram,Border,Hyper,765,No,12 hrs,SAR 70903.0,Regular,250180,150108,2,2544,SAR 131091
84,fil-2108,9/16/2019 0:00,1441-01-17,Mon,Sep,Muharram,Center,Grande,1060,Yes,12 hrs,SAR 584763.0,None,2692781,0,10,22619,SAR 1035140
85,fil-2109,9/16/2019 0:00,1441-01-17,Mon,Sep,Muharram,Center,Hyper,960,Yes,18 hrs,SAR 54148.0,Regular,1281622,384486,7,15925,SAR 852302
86,fil-2110,9/16/2019 0:00,1441-01-17,Mon,Sep,Muharram,Border,Hyper,840,Yes,18 hrs,SAR 66971.0,None,412301,0,2,7020,SAR 383772
87,fil-2111,9/16/2019 0:00,1441-01-17,Mon,Sep,Muharram,Center,Regular,265,Yes,12 hrs,SAR 2737.0,Regular,447122,223561,9,7221,SAR 351756
88,fil-2101,9/17/2019 0:00,1441-01-18,Tue,Sep,Muharram,Center,Regular,150,No,12 hrs,SAR 5378.0,Regular,497753,199101,7,5124,SAR 234885
89,fil-2102,9/17/2019 0:00,1441-01-18,Tue,Sep,Muharram,Border,Hyper,1830,Yes,24 hrs,SAR 59124.0,None,352083,0,4,3890,SAR 201812
90,fil-2103,9/17/2019 0:00,1441-01-18,Tue,Sep,Muharram,Center,Regular,465,Yes,12 hrs,SAR 5914.0,Regular,1072366,428946,6,15178,SAR 844086
91,fil-2104,9/17/2019 0:00,1441-01-18,Tue,Sep,Muharram,Center,Grande,1470,Yes,18 hrs,SAR 208328.0,None,2136403,0,10,30764,SAR 1417108
92,fil-2105,9/17/2019 0:00,1441-01-18,Tue,Sep,Muharram,Outskirts,Hyper,810,Yes,24 hrs,SAR 46884.0,Regular,217117,108558,1,2183,SAR 126410
93,fil-2106,9/17/2019 0:00,1441-01-18,Tue,Sep,Muharram,Center,Grande,840,Yes,12 hrs,SAR 497223.0,None,4153861,0,7,47353,SAR 3035884
94,fil-2107,9/17/2019 0:00,1441-01-18,Tue,Sep,Muharram,Border,Hyper,765,No,12 hrs,SAR 73620.0,Regular,250180,150108,2,6010,SAR 318766
95,fil-2108,9/17/2019 0:00,1441-01-18,Tue,Sep,Muharram,Center,Grande,1060,Yes,12 hrs,SAR 574247.0,None,2692781,0,10,29082,SAR 1987638
96,fil-2109,9/17/2019 0:00,1441-01-18,Tue,Sep,Muharram,Center,Hyper,960,Yes,18 hrs,SAR 51356.0,Regular,1281622,768973,7,15456,SAR 789824
97,fil-2110,9/17/2019 0:00,1441-01-18,Tue,Sep,Muharram,Border,Hyper,840,Yes,18 hrs,SAR 58314.0,None,412301,0,2,4450,SAR 236352
98,fil-2111,9/17/2019 0:00,1441-01-18,Tue,Sep,Muharram,Center,Regular,265,Yes,12 hrs,SAR 2436.0,Regular,447122,178848,9,3807,SAR 189116
99,fil-2101,9/18/2019 0:00,1441-01-19,Wed,Sep,Muharram,Center,Regular,150,No,12 hrs,SAR 5323.0,None,497753,0,7,7891,SAR 403528
100,fil-2102,9/18/2019 0:00,1441-01-19,Wed,Sep,Muharram,Border,Hyper,1830,Yes,24 hrs,SAR 59883.0,None,352083,0,4,3661,SAR 180689
101,fil-2103,9/18/2019 0:00,1441-01-19,Wed,Sep,Muharram,Center,Regular,465,Yes,12 hrs,SAR 6470.0,None,1072366,0,6,10294,SAR 482155
102,fil-2104,9/18/2019 0:00,1441-01-19,Wed,Sep,Muharram,Center,Grande,1470,Yes,18 hrs,SAR 193725.0,None,2136403,0,10,29482,SAR 1446806
103,fil-2105,9/18/2019 0:00,1441-01-19,Wed,Sep,Muharram,Outskirts,Hyper,810,Yes,24 hrs,SAR 38667.0,None,217117,0,1,3835,SAR 169641
104,fil-2106,9/18/2019 0:00,1441-01-19,Wed,Sep,Muharram,Center,Grande,840,Yes,12 hrs,SAR 568607.0,None,4153861,0,7,54830,SAR 2932952
105,fil-2107,9/18/2019 0:00,1441-01-19,Wed,Sep,Muharram,Border,Hyper,765,No,12 hrs,SAR 78475.0,None,250180,0,2,5638,SAR 283669
106,fil-2108,9/18/2019 0:00,1441-01-19,Wed,Sep,Muharram,Center,Grande,1060,Yes,12 hrs,SAR 554343.0,None,2692781,0,10,17772,SAR 1007001
107,fil-2109,9/18/2019 0:00,1441-01-19,Wed,Sep,Muharram,Center,Hyper,960,Yes,18 hrs,SAR 55434.0,None,1281622,0,7,12303,SAR 574811
108,fil-2110,9/18/2019 0:00,1441-01-19,Wed,Sep,Muharram,Border,Hyper,840,Yes,18 hrs,SAR 69149.0,None,412301,0,2,6866,SAR 359260
109,fil-2111,9/18/2019 0:00,1441-01-19,Wed,Sep,Muharram,Center,Regular,265,Yes,12 hrs,SAR 2563.0,None,447122,0,9,6170,SAR 292212
110,fil-2101,9/19/2019 0:00,1441-01-20,Thu,Sep,Muharram,Center,Regular,150,No,12 hrs,SAR 5251.0,Grand,497753,149325,7,6088,SAR 300791
111,fil-2102,9/19/2019 0:00,1441-01-20,Thu,Sep,Muharram,Border,Hyper,1830,Yes,24 hrs,SAR 50836.0,None,352083,0,4,3890,SAR 231458
112,fil-2103,9/19/2019 0:00,1441-01-20,Thu,Sep,Muharram,Center,Regular,465,Yes,12 hrs,SAR 6630.0,Grand,1072366,428946,6,19714,SAR 926774
113,fil-2104,9/19/2019 0:00,1441-01-20,Thu,Sep,Muharram,Center,Grande,1470,Yes,18 hrs,SAR 187176.0,None,2136403,0,10,17945,SAR 829450
114,fil-2105,9/19/2019 0:00,1441-01-20,Thu,Sep,Muharram,Outskirts,Hyper,810,Yes,24 hrs,SAR 33956.0,Grand,217117,86846,1,4235,SAR 212750
115,fil-2106,9/19/2019 0:00,1441-01-20,Thu,Sep,Muharram,Center,Grande,840,Yes,12 hrs,SAR 467621.0,None,4153861,0,7,37384,SAR 1683688
116,fil-2107,9/19/2019 0:00,1441-01-20,Thu,Sep,Muharram,Border,Hyper,765,No,12 hrs,SAR 87418.0,Grand,250180,100072,2,3090,SAR 160585
117,fil-2108,9/19/2019 0:00,1441-01-20,Thu,Sep,Muharram,Center,Grande,1060,Yes,12 hrs,SAR 451450.0,None,2692781,0,10,22619,SAR 1227283
118,fil-2109,9/19/2019 0:00,1441-01-20,Thu,Sep,Muharram,Center,Hyper,960,Yes,18 hrs,SAR 49243.0,Grand,1281622,384486,7,17832,SAR 860236
119,fil-2110,9/19/2019 0:00,1441-01-20,Thu,Sep,Muharram,Border,Hyper,840,Yes,18 hrs,SAR 67703.0,None,412301,0,2,5191,SAR 216864
120,fil-2111,9/19/2019 0:00,1441-01-20,Thu,Sep,Muharram,Center,Regular,265,Yes,12 hrs,SAR 2401.0,Grand,447122,178848,9,6558,SAR 356355
121,fil-2101,9/20/2019 0:00,1441-01-21,Fri,Sep,Muharram,Center,Regular,150,No,12 hrs,SAR 5742.0,Regular,497753,248876,7,8048,SAR 366876
122,fil-2102,9/20/2019 0:00,1441-01-21,Fri,Sep,Muharram,Border,Hyper,1830,Yes,24 hrs,SAR 50655.0,None,352083,0,4,5492,SAR 276869
123,fil-2103,9/20/2019 0:00,1441-01-21,Fri,Sep,Muharram,Center,Regular,465,Yes,12 hrs,SAR 6326.0,Regular,1072366,536183,6,11409,SAR 534349
124,fil-2104,9/20/2019 0:00,1441-01-21,Fri,Sep,Muharram,Center,Grande,1470,Yes,18 hrs,SAR 169749.0,None,2136403,0,10,21791,SAR 884607
125,fil-2105,9/20/2019 0:00,1441-01-21,Fri,Sep,Muharram,Outskirts,Hyper,810,Yes,24 hrs,SAR 41508.0,Regular,217117,130270,1,2191,SAR 127105
126,fil-2106,9/20/2019 0:00,1441-01-21,Fri,Sep,Muharram,Center,Grande,840,Yes,12 hrs,SAR 510835.0,None,4153861,0,7,39877,SAR 1762016
127,fil-2107,9/20/2019 0:00,1441-01-21,Fri,Sep,Muharram,Border,Hyper,765,No,12 hrs,SAR 75166.0,Regular,250180,125090,2,2746,SAR 153835
128,fil-2108,9/20/2019 0:00,1441-01-21,Fri,Sep,Muharram,Center,Grande,1060,Yes,12 hrs,SAR 523579.0,None,2692781,0,10,17772,SAR 831524
129,fil-2109,9/20/2019 0:00,1441-01-21,Fri,Sep,Muharram,Center,Hyper,960,Yes,18 hrs,SAR 51575.0,Regular,1281622,512648,7,8497,SAR 346009
130,fil-2110,9/20/2019 0:00,1441-01-21,Fri,Sep,Muharram,Border,Hyper,840,Yes,18 hrs,SAR 75092.0,None,412301,0,2,4046,SAR 221023
131,fil-2111,9/20/2019 0:00,1441-01-21,Fri,Sep,Muharram,Center,Regular,265,Yes,12 hrs,SAR 2248.0,Regular,447122,223561,9,3295,SAR 136039
132,fil-2101,9/21/2019 0:00,1441-01-22,Sat,Sep,Muharram,Center,Regular,150,No,12 hrs,SAR 4879.0,None,497753,0,7,4963,SAR 286799
133,fil-2102,9/21/2019 0:00,1441-01-22,Sat,Sep,Muharram,Border,Hyper,1830,Yes,24 hrs,SAR 61944.0,Regular,352083,105624,4,2730,SAR 133950
134,fil-2103,9/21/2019 0:00,1441-01-22,Sat,Sep,Muharram,Center,Regular,465,Yes,12 hrs,SAR 6441.0,None,1072366,0,6,14798,SAR 582016
135,fil-2104,9/21/2019 0:00,1441-01-22,Sat,Sep,Muharram,Center,Grande,1470,Yes,18 hrs,SAR 238560.0,Regular,2136403,1068201,10,22833,SAR 986824
136,fil-2105,9/21/2019 0:00,1441-01-22,Sat,Sep,Muharram,Outskirts,Hyper,810,Yes,24 hrs,SAR 40457.0,None,217117,0,1,3469,SAR 170296
137,fil-2106,9/21/2019 0:00,1441-01-22,Sat,Sep,Muharram,Center,Grande,840,Yes,12 hrs,SAR 435953.0,Regular,4153861,1246158,7,60314,SAR 3276302
138,fil-2107,9/21/2019 0:00,1441-01-22,Sat,Sep,Muharram,Border,Hyper,765,No,12 hrs,SAR 63177.0,None,250180,0,2,3309,SAR 171178
139,fil-2108,9/21/2019 0:00,1441-01-22,Sat,Sep,Muharram,Center,Grande,1060,Yes,12 hrs,SAR 591662.0,Regular,2692781,1077112,10,39336,SAR 1903717
140,fil-2109,9/21/2019 0:00,1441-01-22,Sat,Sep,Muharram,Center,Hyper,960,Yes,18 hrs,SAR 53053.0,None,1281622,0,7,11534,SAR 597691
141,fil-2110,9/21/2019 0:00,1441-01-22,Sat,Sep,Muharram,Border,Hyper,840,Yes,18 hrs,SAR 57178.0,Regular,412301,206150,2,7437,SAR 372855
142,fil-2111,9/21/2019 0:00,1441-01-22,Sat,Sep,Muharram,Center,Regular,265,Yes,12 hrs,SAR 1980.0,None,447122,0,9,4828,SAR 227955
143,fil-2101,9/22/2019 0:00,1441-01-23,Sun,Sep,Muharram,Center,Regular,150,No,12 hrs,SAR 5499.0,None,497753,0,7,6354,SAR 341992
144,fil-2102,9/22/2019 0:00,1441-01-23,Sun,Sep,Muharram,Border,Hyper,1830,Yes,24 hrs,SAR 50776.0,Regular,352083,140833,4,5999,SAR 265889
145,fil-2103,9/22/2019 0:00,1441-01-23,Sun,Sep,Muharram,Center,Regular,465,Yes,12 hrs,SAR 6488.0,None,1072366,0,6,8364,SAR 361285
146,fil-2104,9/22/2019 0:00,1441-01-23,Sun,Sep,Muharram,Center,Grande,1470,Yes,18 hrs,SAR 204318.0,Regular,2136403,1068201,10,19680,SAR 1022709
147,fil-2105,9/22/2019 0:00,1441-01-23,Sun,Sep,Muharram,Outskirts,Hyper,810,Yes,24 hrs,SAR 47603.0,None,217117,0,1,2019,SAR 119149
148,fil-2106,9/22/2019 0:00,1441-01-23,Sun,Sep,Muharram,Center,Grande,840,Yes,12 hrs,SAR 517448.0,Regular,4153861,1246158,7,30339,SAR 1473093
149,fil-2107,9/22/2019 0:00,1441-01-23,Sun,Sep,Muharram,Border,Hyper,765,No,12 hrs,SAR 69409.0,None,250180,0,2,5698,SAR 318946
150,fil-2108,9/22/2019 0:00,1441-01-23,Sun,Sep,Muharram,Center,Grande,1060,Yes,12 hrs,SAR 584854.0,Regular,2692781,807834,10,28134,SAR 1556666
151,fil-2109,9/22/2019 0:00,1441-01-23,Sun,Sep,Muharram,Center,Hyper,960,Yes,18 hrs,SAR 55563.0,None,1281622,0,7,9227,SAR 528439
152,fil-2110,9/22/2019 0:00,1441-01-23,Sun,Sep,Muharram,Border,Hyper,840,Yes,18 hrs,SAR 63425.0,Regular,412301,164920,2,6360,SAR 328577
153,fil-2111,9/22/2019 0:00,1441-01-23,Sun,Sep,Muharram,Center,Regular,265,Yes,12 hrs,SAR 2331.0,None,447122,0,9,4828,SAR 241555
154,fil-2101,9/23/2019 0:00,1441-01-24,Mon,Sep,Muharram,Center,Regular,150,No,12 hrs,SAR 5491.0,None,497753,0,7,6952,SAR 349009
